rank,window_index,row,col,margin,predicted_class,class_name
698,7563,59,11,0.021606,6,built
699,4557,35,77,0.021606,4,crops
700,15742,122,126,0.021729,6,built
701,10531,82,35,0.021729,5,shrub_and_scrub
702,6836,53,52,0.021729,5,shrub_and_scrub
703,6166,48,22,0.021729,6,built
704,3930,30,90,0.021729,6,built
705,5775,45,15,0.021851,0,water
706,14198,110,118,0.021973,4,crops
707,11717,91,69,0.021973,7,bare
708,9060,70,100,0.021973,1,trees
709,8598,67,22,0.021973,6,built
710,4063,31,95,0.021973,7,bare
711,12734,99,62,0.022095,4,crops
712,7317,57,21,0.022095,1,trees
713,5126,40,6,0.022095,7,bare
714,11003,85,123,0.022217,7,bare
715,5789,45,29,0.022217,4,crops
716,1833,14,41,0.022217,6,built
717,10288,80,48,0.022339,6,built
718,10160,79,48,0.022339,4,crops
719,10120,79,8,0.022339,5,shrub_and_scrub
720,824,6,56,0.022339,6,built
721,15838,123,94,0.022461,6,built
722,15591,121,103,0.022461,4,crops
723,14405,112,69,0.022461,5,shrub_and_scrub
724,9745,76,17,0.022461,4,crops
725,8255,64,63,0.022461,4,crops
726,708,5,68,0.022461,6,built
727,143,1,15,0.022461,4,crops
728,15765,123,21,0.022705,4,crops
729,11085,86,77,0.022705,7,bare
730,4039,31,71,0.022705,6,built
731,2704,21,16,0.022705,1,trees
732,1337,10,57,0.022705,6,built
733,10391,81,23,0.022827,1,trees
734,5634,44,2,0.022827,6,built
735,2989,23,45,0.022827,7,bare
736,1056,8,32,0.022827,7,bare
737,12068,94,36,0.022949,6,built
738,11940,93,36,0.022949,7,bare
739,11911,93,7,0.022949,6,built
740,10414,81,46,0.022949,7,bare
741,9887,77,31,0.022949,6,built
742,9067,70,107,0.022949,4,crops
743,8464,66,16,0.022949,6,built
744,5392,42,16,0.022949,5,shrub_and_scrub
745,1067,8,43,0.022949,5,shrub_and_scrub
746,154,1,26,0.022949,7,bare
747,12448,97,32,0.023071,5,shrub_and_scrub
748,10496,82,0,0.023071,6,built
749,15526,121,38,0.023193,5,shrub_and_scrub
750,9744,76,16,0.023193,5,shrub_and_scrub
751,8839,69,7,0.023193,6,built
752,8469,66,21,0.023193,7,bare
753,7694,60,14,0.023193,6,built
754,790,6,22,0.023193,4,crops
755,14210,111,2,0.023315,1,trees
756,11875,92,99,0.023315,1,trees
757,153,1,25,0.023315,6,built
758,15721,122,105,0.023438,2,grass
759,12345,96,57,0.023438,4,crops
760,9979,77,123,0.023438,5,shrub_and_scrub
761,7311,57,15,0.023438,6,built
762,5664,44,32,0.023438,7,bare
763,5396,42,20,0.023438,6,built
764,4675,36,67,0.023438,4,crops
765,4064,31,96,0.023438,8,snow_and_ice
766,14196,110,116,0.02356,6,built
767,9208,71,120,0.02356,7,bare
768,15921,124,49,0.023682,5,shrub_and_scrub
769,15121,118,17,0.023682,4,crops
770,12504,97,88,0.023682,6,built
771,10125,79,13,0.023682,6,built
772,9608,75,8,0.023682,4,crops
773,7190,56,22,0.023682,2,grass
774,6803,53,19,0.023682,2,grass
775,4750,37,14,0.023682,7,bare
776,1855,14,63,0.023682,7,bare
777,1575,12,39,0.023682,6,built
778,1430,11,22,0.023682,5,shrub_and_scrub
779,307,2,51,0.023682,6,built
780,15221,118,117,0.023804,1,trees
781,8260,64,68,0.023804,4,crops
782,555,4,43,0.023804,5,shrub_and_scrub
783,13956,109,4,0.023926,4,crops
784,7759,60,79,0.023926,5,shrub_and_scrub
785,3489,27,33,0.023926,5,shrub_and_scrub
786,14846,115,126,0.024048,4,crops
787,14010,109,58,0.024048,4,crops
788,11021,86,13,0.024048,7,bare
789,10024,78,40,0.024048,6,built
790,5336,41,88,0.024048,4,crops
791,15661,122,45,0.02417,5,shrub_and_scrub
