window,task,label,pred,error,baseline_neg_margin,boundary,tile_phase,top1_prob,label_quantile_in_window,other_patches_mean_boundary
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_75,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,5,1,-0.57654,0.375,0.43988,0.6302,0.381,0.498
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_76,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,2,2,0,-13.01547,0.000,0.00002,1.0000,0.079,0.333
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_87,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,0,0,0,-5.06637,0.750,0.37321,0.9937,0.905,0.313
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_9,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,2,1,-0.51368,0.875,0.52985,0.6168,0.929,0.407
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_93,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,4,4,0,-1.76579,0.250,0.09959,0.8406,0.325,0.405
spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083_point_97,spatial_split\task_3e3715c8-c01b-4c8c-af6f-6959c1597083,2,2,0,-4.80455,0.250,0.36135,0.9875,0.429,0.337
spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5_point_11,spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5,5,2,1,-1.18991,0.375,0.23545,0.7667,0.786,0.244
spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5_point_17,spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5,0,0,0,-2.46082,0.125,0.09294,0.9213,0.040,0.498
spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5_point_2,spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5,0,0,0,-1.64026,0.375,0.44992,0.8323,0.437,0.411
spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5_point_3,spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5,5,4,1,-1.13151,0.875,0.45530,0.7431,0.937,0.363
spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5_point_5,spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5,2,2,0,-3.19945,0.375,0.12270,0.9608,0.238,0.550
spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5_point_6,spatial_split\task_443f9bea-5883-4fb7-9573-0a9d51cb24d5,5,5,0,-15.04716,0.000,0.00048,1.0000,0.230,0.139
spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5_point_10,spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5,4,2,1,-0.22700,0.375,0.41127,0.5551,0.444,0.446
spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5_point_11,spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5,6,6,0,-5.99990,0.000,0.00739,0.9974,0.254,0.210
spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5_point_16,spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5,4,4,0,-2.45666,0.250,0.29387,0.9194,0.373,0.365
spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5_point_20,spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5,4,4,0,-5.52631,0.000,0.15046,0.9928,0.151,0.302
spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5_point_23,spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5,4,4,0,-7.23469,0.000,0.00060,0.9993,0.500,0.000
spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5_point_33,spatial_split\task_4d86a761-641c-4d20-947c-c9d8b08153a5,4,6,1,-0.35494,0.500,0.59807,0.3847,0.325,0.595
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_19,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-7.87401,0.000,0.00029,0.9996,0.500,0.000
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_20,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,4,4,0,-2.49370,0.250,0.06014,0.9231,0.683,0.218
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_22,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,2,2,0,-1.32510,0.000,0.16705,0.7871,0.143,0.282
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_23,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-11.53577,0.000,0.00196,1.0000,0.206,0.206
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_25,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,3,3,0,-11.98099,0.000,0.00001,1.0000,0.452,0.028
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_3,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-11.86124,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_30,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-5.54115,0.000,0.00768,0.9953,0.429,0.032
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_31,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,2,2,0,-4.05952,0.000,0.01357,0.9830,0.373,0.087
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_32,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-7.11015,0.000,0.03592,0.9991,0.500,0.000
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_5,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-7.05381,0.000,0.00681,0.9991,0.310,0.131
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_7,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,2,4,1,-1.42547,1.000,0.38440,0.8042,1.000,0.087
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_8,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,5,5,0,-12.43164,0.000,0.00001,1.0000,0.500,0.000
spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4_point_9,spatial_split\task_58af58e7-9eaf-46bf-b4b0-207b80bc00e4,4,2,1,-1.21642,0.500,0.11296,0.7714,0.619,0.425
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_0,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,5,5,0,-11.09932,0.000,0.00034,1.0000,0.500,0.000
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_11,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,0,2,1,-1.51098,0.250,0.12656,0.8174,0.278,0.397
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_12,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,2,2,0,-2.16995,0.125,0.41437,0.8884,0.429,0.256
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_13,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,0,5,1,-1.06695,1.000,0.57041,0.5937,0.984,0.484
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_15,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,2,2,0,-4.08033,0.125,0.01875,0.9739,0.254,0.312
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_16,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,5,5,0,-8.63062,0.000,0.00026,0.9997,0.341,0.127
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_17,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,0,2,1,-4.20632,0.125,0.04499,0.9853,0.389,0.284
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_24,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,5,5,0,-5.32621,0.125,0.00565,0.9930,0.929,0.030
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_28,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,0,2,1,-0.48903,0.000,0.32574,0.6182,0.111,0.385
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_36,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,0,2,1,-2.69642,0.125,0.06382,0.9363,0.214,0.427
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_37,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,5,5,0,-13.54088,0.000,0.00008,1.0000,0.500,0.000
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_8,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,2,5,1,-1.44201,0.875,0.39664,0.7344,0.929,0.593
spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053_point_9,spatial_split\task_6269bc5d-f293-461b-8953-06bf3b640053,0,0,0,-15.55033,0.000,0.00138,1.0000,0.040,0.500
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_11,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-7.82279,0.000,0.00037,0.9996,0.357,0.099
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_13,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-9.03018,0.000,0.00338,0.9998,0.500,0.000
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_16,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-4.68991,0.000,0.00712,0.9902,0.381,0.075
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_18,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,2,2,0,-0.80535,0.250,0.20750,0.6909,0.286,0.452
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_20,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,2,2,0,-9.28440,0.000,0.01446,0.9999,0.468,0.020
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_21,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,8,8,0,-12.05591,0.375,0.00002,1.0000,0.643,0.304
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_24,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-10.25515,0.000,0.00013,0.9999,0.429,0.032
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_25,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,8,8,0,-7.94733,0.000,0.00056,0.9993,0.310,0.095
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_35,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,2,2,0,-8.79968,0.000,0.00023,0.9998,0.341,0.115
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_4,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,8,8,0,-10.25773,0.375,0.00005,0.9999,0.468,0.399
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_48,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-9.75738,0.000,0.00197,0.9999,0.437,0.040
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_61,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-14.15250,0.000,0.00003,1.0000,0.397,0.052
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_64,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,2,0,1,-0.45870,0.625,0.36905,0.6125,0.865,0.276
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_68,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-11.09133,0.000,0.00340,1.0000,0.500,0.000
spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee_point_9,spatial_split\task_6e7ff7f7-bde9-40f8-aa83-7dcd6793d6ee,5,5,0,-12.19248,0.000,0.00001,1.0000,0.500,0.000
spatial_split\task_7406e0d9-0f50-4e96-afaa-4a1f1f71cbf4_point_2,spatial_split\task_7406e0d9-0f50-4e96-afaa-4a1f1f71cbf4,2,2,0,-9.94316,0.000,0.00005,1.0000,0.500,0.000
spatial_split\task_7406e0d9-0f50-4e96-afaa-4a1f1f71cbf4_point_8,spatial_split\task_7406e0d9-0f50-4e96-afaa-4a1f1f71cbf4,4,2,1,-2.48741,0.125,0.33953,0.9183,0.508,0.228
spatial_split\task_a68e5146-dd9b-4002-b4da-1d8f40a3ceb5_point_1,spatial_split\task_a68e5146-dd9b-4002-b4da-1d8f40a3ceb5,8,5,1,-1.37707,0.500,0.67010,0.7327,0.262,0.611
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_11,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,3,3,0,-10.30609,0.000,0.00003,1.0000,0.325,0.107
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_12,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,2,2,0,-1.42138,0.500,0.24095,0.7486,0.619,0.425
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_15,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,4,4,0,-10.94128,0.000,0.00274,1.0000,0.405,0.056
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_20,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,4,4,0,-11.98332,0.000,0.00934,1.0000,0.452,0.028
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_23,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,0,0,0,-7.22632,0.250,0.29539,0.9993,0.183,0.536
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_25,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,1,1,0,-22.20357,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_29,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,3,3,0,-20.03900,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_30,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,4,4,0,-3.15216,0.000,0.37878,0.9566,0.325,0.111
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_37,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,4,2,1,-1.18522,0.625,0.43982,0.7656,0.944,0.157
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_43,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,2,2,0,-3.31027,0.250,0.02846,0.9645,0.706,0.179
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_44,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,4,4,0,-4.87474,0.000,0.00591,0.9924,0.468,0.020
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_46,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,4,4,0,-9.34891,0.000,0.00013,0.9998,0.429,0.032
spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4_point_53,spatial_split\task_be5974fd-8d3b-4aaa-97f7-8e9f2779c8c4,1,1,0,-22.77697,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_101,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-7.77637,0.000,0.00119,0.9996,0.222,0.194
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_103,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-3.83111,0.250,0.01637,0.9787,0.413,0.333
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_105,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-4.29992,0.125,0.13955,0.9864,0.516,0.196
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_106,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,3,4,1,-0.40352,0.375,0.19697,0.5983,0.651,0.292
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_12,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-5.93651,0.125,0.00239,0.9967,0.381,0.264
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_13,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-12.36816,0.000,0.02924,1.0000,0.071,0.377
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_15,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-4.71619,0.375,0.34999,0.9911,0.627,0.319
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_36,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-8.61808,0.000,0.00021,0.9998,0.167,0.234
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_4,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,4,5,1,-0.87900,1.000,0.35536,0.7055,0.992,0.171
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_41,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-7.67122,0.000,0.00621,0.9995,0.294,0.159
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_48,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-7.03001,0.000,0.00619,0.9991,0.254,0.151
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_49,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-2.99613,0.250,0.03565,0.9521,0.817,0.135
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_50,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,4,5,1,-0.99511,0.375,0.16795,0.7301,0.429,0.387
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_51,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,3,5,1,-0.02682,0.500,0.32537,0.3582,0.619,0.381
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_65,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,4,5,1,-3.71497,0.750,0.42598,0.9752,0.897,0.401
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_7,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-2.76463,0.000,0.04343,0.9407,0.198,0.242
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_70,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-10.63432,0.000,0.00064,1.0000,0.190,0.226
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_80,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-1.81515,0.000,0.33701,0.8553,0.325,0.115
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_84,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-2.54082,0.000,0.29841,0.9269,0.079,0.317
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_86,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-4.84516,0.125,0.00693,0.9914,0.643,0.153
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_88,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-4.80633,0.000,0.35283,0.9919,0.421,0.048
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_92,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,4,1,-0.46937,0.875,0.32468,0.6146,0.952,0.200
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_94,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,2,2,0,-8.13777,0.000,0.00045,0.9997,0.429,0.032
spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd_point_95,spatial_split\task_c1e4cc1c-523d-4b31-bef8-7204bfc9ccbd,5,5,0,-4.18871,0.250,0.46869,0.9768,0.103,0.540
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_1,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,2,0,-5.84871,0.000,0.00457,0.9965,0.167,0.270
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_13,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,5,5,0,-7.35965,0.000,0.17924,0.9984,0.270,0.143
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_16,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,2,0,-12.03482,0.000,0.00206,1.0000,0.357,0.083
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_23,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,6,6,0,-13.44553,0.000,0.00005,1.0000,0.500,0.000
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_28,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,2,0,-8.33421,0.000,0.00518,0.9997,0.238,0.155
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_30,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,2,0,-7.96767,0.000,0.00061,0.9996,0.310,0.131
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_32,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,3,2,1,-0.25123,0.875,0.62544,0.4759,0.968,0.482
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_33,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,2,0,-3.34549,0.250,0.20089,0.9363,0.746,0.175
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_4,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,5,1,-0.18706,1.000,0.53877,0.5065,0.968,0.389
spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0_point_8,spatial_split\task_c2fe80b4-ecb1-46df-b417-9a8b1804c7b0,2,2,0,-2.18707,0.125,0.14586,0.8288,0.397,0.284
spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18_point_18,spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18,1,1,0,-27.17394,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18_point_19,spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18,1,1,0,-27.81572,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18_point_25,spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18,1,1,0,-27.39921,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18_point_26,spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18,1,1,0,-20.48531,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18_point_5,spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18,1,1,0,-26.80029,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18_point_8,spatial_split\task_ce646fb4-34d2-45d1-9829-32af50624c18,1,1,0,-25.92683,0.000,0.00000,1.0000,0.500,0.000
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_17,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-2.27435,0.500,0.37455,0.9063,0.865,0.222
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_18,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-10.83717,0.000,0.00019,1.0000,0.452,0.028
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_2,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,6,1,-0.21364,0.750,0.50144,0.5492,0.873,0.464
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_24,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-6.01230,0.000,0.00210,0.9976,0.500,0.000
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_30,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-3.83703,0.000,0.36172,0.9789,0.230,0.163
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_34,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,2,2,0,-4.28453,0.000,0.50103,0.9863,0.333,0.087
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_4,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-2.33814,0.750,0.46980,0.9113,0.937,0.286
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_42,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-6.90492,0.375,0.46768,0.9990,0.738,0.232
spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44_point_53,spatial_split\task_d4c8256d-4632-48b6-bbc1-744c2e2a7f44,0,0,0,-8.94752,0.125,0.24480,0.9998,0.310,0.355
